title_href,selling_proposition,price,discount,available_color,rank-title,rank-sub,product_title,main_category
https://us.shein.com/1pc-Facial-And-Neck-Massager-With-3-Color-LED-Light-Modes-Perfect-Gift-For-Home-And-Travel-Use-p-31373894.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,,7.87,35.0,1.0,#3 Best Sellers,in Beauty Care Appliances,"1pc Facial And Neck Massager With 3-Color LED Light Modes, Perfect Gift For Home And Travel Use",Beauty & Health
https://us.shein.com/5pcs-Set-Professional-Hair-Styling-Comb-Set-For-Curly-Consist-Of-Edges-Brush-Tail-Comb-Gel-Brush-Denman-Brush-Edge-Control-Brush-Hair-Brush-Detangling-Barber-Comb-Parting-Comb-Hair-Picks-Rat-Tail-Comb-Rat-Tail-Combs-For-Parting-Hair-Styling-Comb-Decorative-Tail-Comb-Edge-Control-Brush-And-Shampoo-Brush-Hair-Comb-Set-Anti-Static-Braiding-Combs-Hair-Combs-For-Salon-Braiding-Combs-Rat-Tail-Comb-Wide-Tooth-Comb-Teasing-Hair-Brsuh-Brush-Hair-Brush-Scalp-Massage-Straight-Wet-Dry-Long-And-Shor-p-9697220.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,,1.1,0.0,5.0,#8 Best Sellers,in Combs,"5pcs/Set Professional Hair Styling Comb Set For Curly, Consist Of Edges Brush, Tail Comb, Gel Brush Denman Brush Edge Control Brush,Hair Brush Detangling Barber Comb Parting Comb Hair Picks Rat Tail Comb Rat Tail Combs For Parting,Hair Styling Comb Decorative Tail Comb, Edge Control Brush And Shampoo Brush Hair Comb Set, Anti-Static Braiding Combs Hair Combs For Salon,Braiding Combs Rat Tail Comb,Wide Tooth Comb Teasing Hair Brsuh Brush Hair Brush Scalp Massage,Straight, Wet, Dry, Long, And Shor",Beauty & Health
https://us.shein.com/1-Ice-Roller-Massager-Ice-Cube-Roller-Is-Suitable-For-Natural-Conditioning-And-Skin-Care-Of-The-Face-Eyes-And-Neck-Removes-Puffy-Eye-Bags-Relieves-Migraines-Reusable-Massage-Silicone-Ice-Mold-p-33502297.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,300+ sold recently,1.56,51.0,1.0,,,"1 Ice Roller Massager, Ice Cube Roller Is Suitable For Natural Conditioning And Skin Care Of The Face, Eyes And Neck, Removes Puffy Eye Bags, Relieves Migraines, Reusable Massage Silicone Ice Mold",Beauty & Health
https://us.shein.com/Facial-Wax-Strips-Low-Allergenic-For-All-Skin-Types-Suitable-For-Women-Facial-Hair-Removal-Home-Waxing-Kit-10pcs-20-Strips-Facial-Wax-Strips-Aloe-Vera-rose-Scented-p-24242565.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,10k+ sold recently,1.6,20.0,1.0,,,"Facial Wax Strips - Low Allergenic For All Skin Types - Suitable For Women Facial Hair Removal - Home Waxing Kit 10pcs (20 Strips) Facial Wax Strips, Aloe Vera/rose Scented",Beauty & Health
https://us.shein.com/Pink-Mini-Portable-Nail-Dryer-Lamp-For-Gel-Nails-With-Uv-Led-Light-For-Nail-Art-p-24557044.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,,1.85,23.0,6.0,#9 Best Sellers,in Nail Curing Lamps & Dryers,Pink Mini Portable Nail Dryer Lamp For Gel Nails With Uv Led Light For Nail Art,Beauty & Health
https://us.shein.com/Hair-Wax-Stick-For-Wigs-Long-Lasting-Hold-Edge-Control-Hair-Gel-Non-Greasy-Moisturizing-Pomade-Stick-With-Castor-Oil-For-Frizz-Control-Slick-Stick-Styling-Cream-For-Flyaways-p-31442687.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,,1.7,6.0,1.0,#1 Best Sellers,in Styling Products,"Hair Wax Stick For Wigs, Long-Lasting Hold Edge Control Hair Gel Non-Greasy Moisturizing Pomade Stick With Castor Oil For Frizz Control, Slick Stick Styling Cream For Flyaways",Beauty & Health
https://us.shein.com/Professional-Curler-Electrically-Heated-Automatic-Curler-Negative-Ion-Electric-Clip-Curler-Portable-Heated-Hair-Styling-Tool-For-Home-Use-Salon-Hair-Salon-Mother-s-Day-Gift-p-35234564.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,,35.0,0.0,1.0,,,"Professional Curler, Electrically Heated Automatic Curler, Negative Ion Electric Clip Curler, Portable Heated Hair Styling Tool For Home Use, Salon, Hair Salon, Mother's Day Gift",Beauty & Health
https://us.shein.com/Tongue-Scraper-2-Pack-Tongue-Cleaner-Reduce-Bad-Breath-Tongue-Cleaners-Stainless-Steel-Metal-Tongue-Scrapers-For-Adults-Fresher-Breath-Oral-Care-Oral-Cleaning-Tools-For-Travel-Home-Living-Room-Home-Bedroom-Bathroom-House-Decor-Travel-Stuff-Wedding-Party-Birthday-Gifts-For-Men-Mom-Dad-Friends-New-Years-Accessaries-Funny-Gift-p-28187414.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,,1.7,6.0,1.0,#6 Best Sellers,in Oral Tools,"Tongue Scraper (2 Pack),Tongue Cleaner Reduce Bad Breath, Tongue Cleaners Stainless Steel, Metal Tongue Scrapers For Adults Fresher Breath,Oral Care,Oral Cleaning Tools For Travel,Home, Living Room Home Bedroom Bathroom House Decor, Travel Stuff, Wedding, Party, Birthday, Gifts For Men Mom Dad Friends, New Years, Accessaries, Funny Gift",Beauty & Health
https://us.shein.com/1pc-Scalp-Massager-Scalp-Brush-Scalp-Massage-Brush-Comb-Shampoo-Hair-Washing-Comb-Shower-Brush-Bath-Spa-Slimming-Massage-Brush-Shampoo-Brush-Silicone-Hair-Scalp-Massager-Shampoo-Brush-Scalp-Scrubber-With-Ultra-Soft-Bristles-Integrated-Design-Scalp-Exfoliator-For-Deep-Cleanse-Dandruff-Removal-And-Hair-Growth-Hair-Brush-p-9847541.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,400+ sold recently,0.32,81.0,4.0,,,"1pc Scalp Massager,Scalp Brush, Scalp Massage Brush Comb Shampoo Hair Washing Comb Shower Brush Bath Spa Slimming Massage Brush Shampoo Brush Silicone Hair Scalp Massager Shampoo Brush, Scalp Scrubber With Ultra-Soft Bristles, Integrated Design Scalp Exfoliator For Deep Cleanse, Dandruff Removal And Hair Growth Hair Brush",Beauty & Health
https://us.shein.com/2PCS-Ice-Globes-for-Facials-Cooling-Globe-For-Face-Neck-Eye-Circle-Massage-Facial-Globes-For-Daily-Beauty-Hot-And-Cold-Dual-Use-Globes-Face-Massager-Tools-Facial-Cooling-Neck-Eyes-Daily-Beauty-Tighten-Skin-Anti-Ageing-Reduce-Puffy-and-Wrinkle-Freezer-Safe-and-Highly-Effective-Facial-Globes-p-24856415.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,1.9k+ sold recently,6.2,5.0,1.0,,,"2PCS Ice Globes for Facials, Cooling Globe For Face Neck Eye Circle Massage Facial Globes For Daily Beauty Hot And Cold Dual Use, Globes, Face Massager, Tools, Facial Cooling Neck & Eyes, Daily Beauty, Tighten Skin, Anti Ageing, Reduce Puffy and Wrinkle, Freezer Safe and Highly Effective Facial Globes",Beauty & Health
