title_href,selling_proposition,price,discount,available_color,product_title,main_category
https://us.shein.com/Baby-Girl-Plaid-Print-Button-Front-Halter-Dress-p-15133014.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,5.5k+ sold recently,6.2,9.0,4.0,Baby Girl Plaid Print Button Front Halter Dress,Baby & Maternity
https://us.shein.com/3pcs-Infant-Boys-Casual-Solid-Color-Basic-Short-Sleeve-T-Shirt-And-Shorts-Set-p-36657594.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,100+ sold recently,15.3,7.0,1.0,3pcs Infant Boys' Casual Solid Color Basic Short Sleeve T-Shirt And Shorts Set,Baby & Maternity
https://us.shein.com/U-Shaped-Soft-Silicone-Manual-Toothbrush-Cartoon-Crab-Tooth-Oral-Hygiene-Cleaning-Brush-p-27377746.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,600+ sold recently,3.7,0.0,1.0,U-Shaped Soft Silicone Manual Toothbrush Cartoon Crab Tooth Oral Hygiene Cleaning Brush,Baby & Maternity
https://us.shein.com/SHEIN-Baby-Girl-Casual-Basic-Adorable-Flower-Print-Romper-With-Shoulder-Straps-For-Outdoors-In-Spring-Summer-p-29179701.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,1.8k+ sold recently,4.86,33.0,1.0,SHEIN Baby Girl Casual Basic Adorable Flower Print Romper With Shoulder Straps For Outdoors In Spring/Summer,Baby & Maternity
https://us.shein.com/SHEIN-Baby-Girl-Casual-Knitted-Solid-Color-Halter-Romper-Set-5pcs-p-28549027.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,,13.3,15.0,8.0,"SHEIN Baby Girl Casual Knitted Solid Color Halter Romper Set, 5pcs",Baby & Maternity
https://us.shein.com/Baby-Girls-Cute-Letter-Printed-Bodysuit-For-New-Year-s-Day-And-Valentine-s-Day-Spring-And-Summer-p-29267170.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,1.1k+ sold recently,3.17,28.0,4.0,"Baby Girls' Cute Letter Printed Bodysuit For New Year's Day And Valentine's Day, Spring And Summer",Baby & Maternity
https://us.shein.com/Valentine-s-Day-Baby-Girl-Heart-Pattern-Printed-Romper-With-Bow-Headband-Spring-Summer-p-29787635.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,200+ sold recently,3.55,30.0,1.0,"Valentine's Day Baby Girl Heart Pattern Printed Romper With Bow Headband, Spring/Summer",Baby & Maternity
https://us.shein.com/Fashionable-Baby-Girls-Casual-Polka-Dot-Pattern-Round-Neck-Flying-Sleeve-Cartoon-Bear-Embroidery-Overall-Dress-With-Hair-Band-Summer-p-35636181.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,700+ sold recently,7.9,0.0,1.0,"Fashionable Baby Girls' Casual Polka Dot Pattern Round Neck Flying Sleeve Cartoon Bear Embroidery Overall Dress With Hair Band, Summer",Baby & Maternity
https://us.shein.com/SHEIN-Baby-Girl-Floral-Print-Contrast-Binding-Ruffle-Hem-Cami-Romper-p-15118468.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,,5.5,8.0,1.0,SHEIN Baby Girl Floral Print Contrast Binding Ruffle Hem Cami Romper,Baby & Maternity
https://us.shein.com/SHEIN-Baby-Girl-Solid-Cami-Romper-p-10326198.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,2.8k+ sold recently,3.9,9.0,12.0,SHEIN Baby Girl Solid Cami Romper,Baby & Maternity
