available_color,title_href,rank-title,rank-sub,price,discount,selling_proposition,product_title,main_category
1.0,https://us.shein.com/One-Pair-Leather-Forefoot-Cushions-For-High-Heels-Soft-Anti-Shock-Sweat-Absorbent-And-Slip-Resistant-Self-Adhesive-Invisible-Anti-Slip-Front-Foot-Pads-For-Summer-Sandals-p-33072069.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2,#4 Best Sellers,in RECOMMENDED Happiness Products,1.7,0.0,,"One Pair Leather Forefoot Cushions For High Heels, Soft Anti-Shock, Sweat Absorbent And Slip Resistant, Self-Adhesive Invisible Anti-Slip Front Foot Pads For Summer Sandals.",Shoes
1.0,https://us.shein.com/24pcs-Set-Shoe-Charms-With-Butterflies-Flowers-Hearts-And-Diamonds-For-Perforated-Shoes-The-Buckles-Are-Golden-Color-With-Separate-Insert-Buckle-p-33558903.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2,,,3.4,26.0,800+ sold recently,"24pcs/Set Shoe Charms With Butterflies, Flowers, Hearts, And Diamonds For Perforated Shoes, The Buckles Are Golden Color With Separate Insert Buckle",Shoes
6.0,https://us.shein.com/26pcs-Detachable-Butterfly-Flower-Faux-Pearl-Decorative-Chain-For-Jelly-Shoes-Sandals-Beach-Shoes-p-34242757.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2,,,3.35,41.0,100+ sold recently,"26pcs Detachable Butterfly, Flower & Faux Pearl Decorative Chain For Jelly Shoes, Sandals, Beach Shoes",Shoes
7.0,https://us.shein.com/2pcs-Sandals-Non-Slip-Stickers-Forefoot-Pads-Women-s-High-Heels-Foot-Care-Insoles-p-29155826.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2,#4 Best Sellers,in Outdoor Athletic Shoes,1.49,17.0,,"2pcs Sandals Non-Slip Stickers, Forefoot Pads, Women's High Heels, Foot Care Insoles",Shoes
1.0,https://us.shein.com/2pcs-Women-s-Sponge-Forefoot-Inserts-To-Relieve-Pain-Reduce-Shoe-Size-And-Enhance-Fit-Comfort-And-Protection-For-High-Heeled-Shoes-p-31685241.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2,#6 Best Sellers,in RECOMMENDED Happiness Products,1.4,0.0,,"2pcs Women's Sponge Forefoot Inserts To Relieve Pain, Reduce Shoe Size And Enhance Fit, Comfort And Protection For High-Heeled Shoes",Shoes
5.0,https://us.shein.com/Men-s-And-Women-s-Water-Shoes-For-Sports-Outdoors-Quick-Drying-Breathable-Flexible-Sole-Anti-Slip-Suitable-For-Swimming-Snorkeling-Water-Activities-Boating-Hiking-Camping-p-36303598.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2,,,3.5,0.0,100+ sold recently,"Men's And Women's Water Shoes For Sports & Outdoors: Quick-Drying, Breathable, Flexible Sole, Anti-Slip, Suitable For Swimming, Snorkeling, Water Activities, Boating, Hiking, Camping",Shoes
1.0,https://us.shein.com/8-20-30-38Pcs-Pink-Series-Shoe-Charms-For-Clogs-Sandals-Colorful-Weekly-Shoe-Decoration-Premium-Quality-Popular-Charms-Accessories-Great-Gift-For-Teens-Men-Women-And-Adults-p-33285133.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2,#3 Best Seller,In Multicolor Shoe Decorations,1.5,32.0,,"8/20/30/38Pcs Pink Series Shoe Charms For Clogs Sandals, Colorful Weekly Shoe Decoration Premium Quality Popular Charms Accessories Great Gift For Teens Men Women And Adults",Shoes
1.0,https://us.shein.com/Women-s-Fashionable-College-Style-Chain-Decor-Slip-on-Loafers-p-23218653.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2,,,11.17,45.0,,Women's Fashionable College Style Chain Decor Slip-on Loafers,Shoes
1.0,https://us.shein.com/Women-s-White-Shoes-British-Style-Pure-White-Lace-Up-Leather-Athletic-Shoes-Round-Toe-Low-Top-Flat-Skate-Shoes-Trendy-Breathable-Slip-Resistant-White-Sneakers-For-Students-p-30016594.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2,#5 Best Sellers,in Skate Shoes Women Shoes,8.36,49.0,,"Women's White Shoes, British Style Pure White Lace-Up Leather Athletic Shoes, Round Toe Low-Top Flat Skate Shoes, Trendy Breathable Slip-Resistant White Sneakers For Students",Shoes
9.0,https://us.shein.com/Women-s-Anti-Skid-Soft-Bottom-Wear-Resistant-Thick-Soled-Slippers-Thick-Eva-Soles-Indoor-House-Home-Slides-p-27848855.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2,#1 Best Seller,In Red Violet Women Shoes,3.55,61.0,,"Women's Anti-Skid Soft Bottom Wear-Resistant Thick-Soled Slippers, Thick Eva Soles Indoor House Home Slides",Shoes
